Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs
AG490,protein,,,uaz,UAZ03983,,,apoptosis,bioprocess,,,go,GO:0006915,,,negative,,,,,,,,1,,,PMC5548667
apoptosis,bioprocess,,,go,GO:0006915,,,XIAP,protein,,,uniprot,P98170,,,negative,,,,,,,,1,,,PMC5391076
proliferation,bioprocess,,,go,GO:0008283,,,transcription,bioprocess,,,go,GO:0006351,,,positive,,,,,,,,1,,,PMC5391076
BCLAF1,protein,,,uniprot,Q9NYF8,,,apoptosis,bioprocess,,,go,GO:0006915,,,positive,,,,,,,,1,,,PMC5391076
transcription,bioprocess,,,go,GO:0006351,,,apoptosis,bioprocess,,,go,GO:0006915,,,negative,,,,,,,,1,,,PMC5391076
Fas_ligand,protein,,,uniprot,P48023,,,STAT3,protein,,,uniprot,P40763,,,positive,,,,,,,,1,,,PMC5617471
IL15,protein,,,uniprot,P40933,,,STAT3,protein,,,uniprot,P40763,,,positive,,,,,,,,1,,,PMC5617471
Stattic,protein,,,pubchem,2779853,,,STAT3,protein,,,uniprot,P40763,,,negative,,,,,,,,1,,,PMC5617471
IL6,protein,,,uniprot,P05231,,,STAT3,protein,,,uniprot,P40763,,,negative,,,,,,,,1,,,PMC5617471
PNH,protein,,,uniprot,Q9XGW1,,,alemtuzumab,protein,,,uaz,UAZ01281,,,positive,,,,,,,,1,,,PMC4721315
Fas,protein,,,uniprot,P25445,,,apoptosis,bioprocess,,,go,GO:0006915,,,positive,,,,,,,,1,,,PMC2483444
transcription,bioprocess,,,go,GO:0006351,,,STAT,protein,,,uniprot,P35610,,,positive,,,,,,,,1,,,PMC5891179
STAT,protein,,,uniprot,P35610,,,coil,protein,,,uniprot,P38432,,,positive,,,,,,,,1,,,PMC5891179
metastasis,bioprocess,,,mesh,D009362,,,STAT3,protein,,,uniprot,P40763,,,positive,,,,,,,,1,,,PMC5891179
STAT3,protein,,,uniprot,P40763,,,IL,simple-chemical,,,pubchem,7019083,,,positive,,,,,,,,1,,,PMC5891179
STAT3,protein,,,uniprot,P40763,,,VEGF,protein,,,uniprot,P15692,,,positive,,,,,,,,1,,,PMC5891179
IL15,protein,,,uniprot,P40933,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,1,,,PMC6478569
apoptosis,bioprocess,,,go,GO:0006915,,,BNZ1,protein,,,uaz,UAZ04010,,,positive,,,,,,,,1,,,PMC6478569
proliferation,bioprocess,,,go,GO:0008283,,,IL2,protein,,,uniprot,P60568,,,positive,,,,,,,,1,,,PMC6478569
proliferation,bioprocess,,,go,GO:0008283,,,IL15,protein,,,uniprot,P40933,,,positive,,,,,,,,1,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,HuMikB1,protein,,,uaz,UAZ04007,,,negative,,,,,,,,1,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,proliferation,bioprocess,,,go,GO:0008283,,,negative,,,,,,,,1,,,PMC6478569
proliferation,bioprocess,,,go,GO:0008283,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,1,,,PMC6478569
proliferation,bioprocess,,,go,GO:0008283,,,IL3,protein,,,uniprot,P08700,,,positive,,,,,,,,1,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,proliferation,bioprocess,,,go,GO:0008283,,,negative,,,,,,,,1,,,PMC6478569
proliferation,bioprocess,,,go,GO:0008283,,,Cell_viability,bioprocess,,,mesh,D002470,,,negative,,,,,,,,1,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,cell_expansion,bioprocess,,,go,GO:0016049,,,positive,,,,,,,,1,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,cell_expansion,bioprocess,,,go,GO:0016049,,,positive,,,,,,,,1,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,cell_survival,bioprocess,,,mesh,D002470,,,positive,,,,,,,,1,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,1,,,PMC6478569
IL2,protein,,,uniprot,P60568,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,1,,,PMC6478569
IL2,protein,,,uniprot,P60568,,,STAT3,protein,,,uniprot,P40763,,,negative,,,,,,,,1,,,PMC6478569
Akt,family,,,be,AKT,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,1,,,PMC6478569
ERK,family,,,be,ERK,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,1,,,PMC6478569
BNZ1,protein,,,uaz,UAZ04010,,,annexin_V,protein,,,uniprot,P08758,,,positive,,,,,,,,1,,,PMC6478569
apoptosis,bioprocess,,,go,GO:0006915,,,BNZ1,protein,,,uaz,UAZ04010,,,positive,,,,,,,,1,,,PMC6478569
apoptosis,bioprocess,,,go,GO:0006915,,,BNZ1,protein,,,uaz,UAZ04010,,,positive,,,,,,,,1,,,PMC6478569
BNZ1,protein,,,uaz,UAZ04010,,,apoptosis,bioprocess,,,go,GO:0006915,,,positive,,,,,,,,1,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,NKL,protein,,,uniprot,Q9BZE0,,,positive,,,,,,,,1,,,PMC6478569
proliferation,bioprocess,,,go,GO:0008283,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,1,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,proliferation,bioprocess,,,go,GO:0008283,,,positive,,,,,,,,1,,,PMC6478569
