regulator_name,regulator_id,database1,ID1,location1,element_type1,cell_type1,level1,regulated_name,regulated_id,database2,ID2,location2,element_type2,cell_type2,level2,interaction,score,kindscore,matchlevel,epistemicvalue,file_numbers,number,Regulator Variable Name,Regulated Variable Name,PaperID,,
AG490,uaz_UAZ03983,uaz,UAZ03983,,protein,,,apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,decreases,1,,,,,,,,PMC5548667,AG-490 induced apoptosis,negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,XIAP,uniprot_P98170,uniprot,P98170,,protein,,,decreases,1,,,,,,,,PMC5391076,apoptosis inhibitor XIAP,negative-activation
proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,transcription,go_GO:0006351,go,GO:0006351,,bioprocess,,,increases,1,,,,,,,,PMC5391076,positive-activation,
BCLAF1,uniprot_Q9NYF8,uniprot,Q9NYF8,,protein,,,apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,increases,1,,,,,,,,PMC5391076,positive-activation,
transcription,go_GO:0006351,go,GO:0006351,,bioprocess,,,apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,decreases,1,,,,,,,,PMC5391076,apoptosis-related gene BCLAF1 induces apoptosis and represses transcription,negative-activation
Fas_ligand,uniprot_P48023,uniprot,P48023,,protein,,,STAT3,uniprot_P40763,uniprot,P40763,,protein,,,increases,1,,,,,,,,PMC5617471,positive-activation,
IL15,uniprot_P40933,uniprot,P40933,,protein,,,STAT3,uniprot_P40763,uniprot,P40763,,protein,,,increases,1,,,,,,,,PMC5617471,positive-activation,
Stattic,pubchem_2779853,pubchem,2779853,,protein,,,STAT3,uniprot_P40763,uniprot,P40763,,protein,,,decreases,1,,,,,,,,PMC5617471,"Stattic blocked IL-6 or IL-15 effects preventing STAT3 phosphorylation induction (Figure  XREF_FIG ) and the increase of Fas ligand transcription (Figure  XREF_FIG ), thus demonstrating that the induction of Fas ligand expression is mediated by P-STAT3",negative-activation
IL6,uniprot_P05231,uniprot,P05231,,protein,,,STAT3,uniprot_P40763,uniprot,P40763,,protein,,,decreases,1,,,,,,,,PMC5617471,"IL-6 or IL-15 effects preventing STAT3 phosphorylation induction (Figure  XREF_FIG ) and the increase of Fas ligand transcription (Figure  XREF_FIG ), thus demonstrating that the induction of Fas ligand expression is mediated by P-STAT3",negative-activation
PNH,uniprot_Q9XGW1,uniprot,Q9XGW1,,protein,,,alemtuzumab,uaz_UAZ01281,uaz,UAZ01281,,protein,,,increases,1,,,,,,,,PMC4721315,positive-activation,
Fas,uniprot_P25445,uniprot,P25445,,protein,,,apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,increases,1,,,,,,,,PMC2483444,positive-activation,
transcription,go_GO:0006351,go,GO:0006351,,bioprocess,,,STAT,uniprot_P35610,uniprot,P35610,,protein,,,increases,1,,,,,,,,PMC5891179,positive-activation,
STAT,uniprot_P35610,uniprot,P35610,,protein,,,coil,uniprot_P38432,uniprot,P38432,,protein,,,increases,1,,,,,,,,PMC5891179,positive-activation,
metastasis,mesh_D009362,mesh,D009362,,bioprocess,,,STAT3,uniprot_P40763,uniprot,P40763,,protein,,,increases,1,,,,,,,,PMC5891179,positive-activation,
STAT3,uniprot_P40763,uniprot,P40763,,protein,,,IL,pubchem_7019083,pubchem,7019083,,simple-chemical,,,increases,1,,,,,,,,PMC5891179,positive-activation,
STAT3,uniprot_P40763,uniprot,P40763,,protein,,,VEGF,uniprot_P15692,uniprot,P15692,,protein,,,increases,1,,,,,,,,PMC5891179,positive-activation,
IL15,uniprot_P40933,uniprot,P40933,,protein,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,decreases,1,,,,,,,,PMC6478569,IL-15 blockade by BNZ-1,negative-activation
apoptosis,go_GO:0006915,go,GO:0006915,,bioprocess,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,increases,1,,,,,,,,PMC6478569,positive-activation,
proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,IL2,uniprot_P60568,uniprot,P60568,,protein,,,increases,1,,,,,,,,PMC6478569,positive-activation,
proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,IL15,uniprot_P40933,uniprot,P40933,,protein,,,increases,1,,,,,,,,PMC6478569,positive-activation,
IL15,uniprot_P40933,uniprot,P40933,,protein,,,HuMikB1,uaz_UAZ04007,uaz,UAZ04007,,protein,,,decreases,1,,,,,,,,PMC6478569,Hu-Mikβ1 blocked trans-presentation of IL-15,negative-activation
IL15,uniprot_P40933,uniprot,P40933,,protein,,,proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,decreases,1,,,,,,,,PMC6478569,IL-15 mediated proliferation,negative-activation
proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,decreases,1,,,,,,,,PMC6478569,proliferation of the cells was completely inhibited by BNZ-1,negative-activation
proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,IL3,uniprot_P08700,uniprot,P08700,,protein,,,increases,1,,,,,,,,PMC6478569,positive-activation,
IL15,uniprot_P40933,uniprot,P40933,,protein,,,proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,decreases,1,,,,,,,,PMC6478569,IL-15 mediated proliferation,negative-activation
proliferation,go_GO:0008283,go,GO:0008283,,bioprocess,,,Cell_viability,mesh_D002470,mesh,D002470,,bioprocess,,,decreases,1,,,,,,,,PMC6478569,"Cell viability decreased in the absence of cytokine supplementation and cell numbers increased upon cytokine addition in a dose-dependent manner, indicating the dependence of survival and proliferation",negative-activation
IL15,uniprot_P40933,uniprot,P40933,,protein,,,cell_expansion,go_GO:0016049,go,GO:0016049,,bioprocess,,,increases,1,,,,,,,,PMC6478569,positive-activation,
IL15,uniprot_P40933,uniprot,P40933,,protein,,,cell_expansion,go_GO:0016049,go,GO:0016049,,bioprocess,,,increases,1,,,,,,,,PMC6478569,positive-activation,
IL15,uniprot_P40933,uniprot,P40933,,protein,,,cell_survival,mesh_D002470,mesh,D002470,,bioprocess,,,increases,1,,,,,,,,PMC6478569,positive-activation,
IL15,uniprot_P40933,uniprot,P40933,,protein,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,decreases,1,,,,,,,,PMC6478569,BNZ-1 can significantly inhibit IL-2 and IL-15,negative-activation
IL2,uniprot_P60568,uniprot,P60568,,protein,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,decreases,1,,,,,,,,PMC6478569,BNZ-1 can significantly inhibit IL-2,negative-activation
IL2,uniprot_P60568,uniprot,P60568,,protein,,,STAT3,uniprot_P40763,uniprot,P40763,,protein,,,decreases,1,,,,,,,,PMC6478569,IL-2 mediated activation of STAT3,negative-activation
Akt,be_AKT,be,AKT,,family,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,decreases,1,,,,,,,,PMC6478569,BNZ-1 incompletely blocked Akt,negative-activation
ERK,be_ERK,be,ERK,,family,,,BNZ1,uaz_UAZ04010,uaz,UAZ04010,,protein,,,decreases,1,,,,,,,,PMC6478569,BNZ-1 incompletely blocked Akt and ERK,negative-activation
