Regulator Name,Regulator Type,Regulator Subtype,Regulator HGNC Symbol,Regulator Database,Regulator ID,Regulator Compartment,Regulator Compartment ID,Regulated Name,Regulated Type,Regulated Subtype,Regulated HGNC Symbol,Regulated Database,Regulated ID,Regulated Compartment,Regulated Compartment ID,Sign,Connection Type,Mechanism,Site,Cell Line,Cell Type,Tissue Type,Organism,Score,Source,Statements,Paper IDs
AG490,protein,,,uaz,UAZ03983,,,apoptosis,bioprocess,,,go,GO:0006915,,,negative,,,,,,,,,,,PMC5548667
Fas_ligand,protein,,,uniprot,P48023,,,STAT3,protein,,,uniprot,P40763,,,positive,,,,,,,,,,,PMC5617471
IL15,protein,,,uniprot,P40933,,,STAT3,protein,,,uniprot,P40763,,,positive,,,,,,,,,,,PMC5617471
Stattic,protein,,,pubchem,2779853,,,STAT3,protein,,,uniprot,P40763,,,negative,,,,,,,,,,,PMC5617471
IL6,protein,,,uniprot,P05231,,,STAT3,protein,,,uniprot,P40763,,,negative,,,,,,,,,,,PMC5617471
PNH,protein,,,uniprot,Q9XGW1,,,alemtuzumab,protein,,,uaz,UAZ01281,,,positive,,,,,,,,,,,PMC4721315
IL15,protein,,,uniprot,P40933,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,,,,PMC6478569
apoptosis,bioprocess,,,go,GO:0006915,,,BNZ1,protein,,,uaz,UAZ04010,,,positive,,,,,,,,,,,PMC6478569
proliferation,bioprocess,,,go,GO:0008283,,,IL2,protein,,,uniprot,P60568,,,positive,,,,,,,,,,,PMC6478569
proliferation,bioprocess,,,go,GO:0008283,,,IL15,protein,,,uniprot,P40933,,,positive,,,,,,,,,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,proliferation,bioprocess,,,go,GO:0008283,,,negative,,,,,,,,,,,PMC6478569
proliferation,bioprocess,,,go,GO:0008283,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,,,,PMC6478569
proliferation,bioprocess,,,go,GO:0008283,,,IL3,protein,,,uniprot,P08700,,,positive,,,,,,,,,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,proliferation,bioprocess,,,go,GO:0008283,,,negative,,,,,,,,,,,PMC6478569
proliferation,bioprocess,,,go,GO:0008283,,,Cell_viability,bioprocess,,,mesh,D002470,,,negative,,,,,,,,,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,cell_expansion,bioprocess,,,go,GO:0016049,,,positive,,,,,,,,,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,cell_expansion,bioprocess,,,go,GO:0016049,,,positive,,,,,,,,,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,cell_survival,bioprocess,,,mesh,D002470,,,positive,,,,,,,,,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,,,,PMC6478569
IL2,protein,,,uniprot,P60568,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,,,,PMC6478569
IL2,protein,,,uniprot,P60568,,,STAT3,protein,,,uniprot,P40763,,,negative,,,,,,,,,,,PMC6478569
Akt,family,,,be,AKT,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,,,,PMC6478569
ERK,family,,,be,ERK,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,,,,PMC6478569
BNZ1,protein,,,uaz,UAZ04010,,,annexin_V,protein,,,uniprot,P08758,,,positive,,,,,,,,,,,PMC6478569
apoptosis,bioprocess,,,go,GO:0006915,,,BNZ1,protein,,,uaz,UAZ04010,,,positive,,,,,,,,,,,PMC6478569
apoptosis,bioprocess,,,go,GO:0006915,,,BNZ1,protein,,,uaz,UAZ04010,,,positive,,,,,,,,,,,PMC6478569
BNZ1,protein,,,uaz,UAZ04010,,,apoptosis,bioprocess,,,go,GO:0006915,,,positive,,,,,,,,,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,NKL,protein,,,uniprot,Q9BZE0,,,positive,,,,,,,,,,,PMC6478569
proliferation,bioprocess,,,go,GO:0008283,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,proliferation,bioprocess,,,go,GO:0008283,,,positive,,,,,,,,,,,PMC6478569
proliferation,bioprocess,,,go,GO:0008283,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,,,,PMC6478569
CD4,protein,,,uniprot,P01730,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,,,,PMC6478569
CD25,protein,,,uniprot,P01589,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,cell_viability,bioprocess,,,mesh,D002470,,,positive,,,,,,,,,,,PMC6478569
BNZ1,protein,,,uaz,UAZ04010,,,apoptosis,bioprocess,,,go,GO:0006915,,,positive,,,,,,,,,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,proliferation,bioprocess,,,go,GO:0008283,,,positive,,,,,,,,,,,PMC6478569
IL3,protein,,,uniprot,P08700,,,proliferation,bioprocess,,,go,GO:0008283,,,negative,,,,,,,,,,,PMC6478569
IL2,protein,,,uniprot,P60568,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,,,,PMC6478569
IL15,protein,,,uniprot,P40933,,,BNZ1,protein,,,uaz,UAZ04010,,,negative,,,,,,,,,,,PMC6478569
apoptosis,bioprocess,,,go,GO:0006915,,,BNZ1,protein,,,uaz,UAZ04010,,,positive,,,,,,,,,,,PMC6478569
transcription,bioprocess,,,go,GO:0006351,,,STAT,protein,,,uniprot,P35610,,,positive,,,,,,,,,,,PMC5891179
STAT,protein,,,uniprot,P35610,,,coil,protein,,,uniprot,P38432,,,positive,,,,,,,,,,,PMC5891179
metastasis,bioprocess,,,mesh,D009362,,,STAT3,protein,,,uniprot,P40763,,,positive,,,,,,,,,,,PMC5891179
STAT3,protein,,,uniprot,P40763,,,IL,simple-chemical,,,pubchem,7019083,,,positive,,,,,,,,,,,PMC5891179
STAT3,protein,,,uniprot,P40763,,,VEGF,protein,,,uniprot,P15692,,,positive,,,,,,,,,,,PMC5891179
IL15,protein,,,uniprot,P40933,,,antigen,protein,,,uaz,UA-BP-GGP-00007,,,positive,,,,,,,,,,,PMC3213185
PDGF,family,,,be,PDGF,,,antigen,protein,,,uaz,UA-BP-GGP-00007,,,positive,,,,,,,,,,,PMC3213185
cell_proliferation,bioprocess,,,go,GO:0008283,,,mitogenactivated_protein_kinase,family,,,be,MAPK,,,positive,,,,,,,,,,,PMC3213185
IFNG,protein,,,uniprot,P01579,,,SMAD,family,,,be,SMAD,,,negative,,,,,,,,,,,PMC3213185
cell_death,bioprocess,,,go,GO:0008219,,,STAT3,protein,,,uniprot,P40763,,,negative,,,,,,,,,,,PMC3213185
cell_death,bioprocess,,,go,GO:0008219,,,Ceramide,simple-chemical,,,pubchem,5283563,,,negative,,,,,,,,,,,PMC3213185
STAT3,protein,,,uniprot,P40763,,,apoptosis,bioprocess,,,go,GO:0006915,,,positive,,,,,,,,,,,PMC3213185
apoptosis,bioprocess,,,go,GO:0006915,,,STAT3,protein,,,uniprot,P40763,,,positive,,,,,,,,,,,PMC3213185
MCL1,protein,,,uniprot,Q07820,,,STAT3,protein,,,uniprot,P40763,,,positive,,,,,,,,,,,PMC3213185
Fas,protein,,,uniprot,P25445,,,apoptosis,bioprocess,,,go,GO:0006915,,,positive,,,,,,,,,,,PMC3213185
apoptosis,bioprocess,,,go,GO:0006915,,,SPHK1,protein,,,uniprot,Q9NYA1,,,negative,,,,,,,,,,,PMC3213185
apoptosis,bioprocess,,,go,GO:0006915,,,RAS,family,,,pfam,PF00071,,,negative,,,,,,,,,,,PMC3213185
apoptosis,bioprocess,,,go,GO:0006915,,,JAK,protein,,,uaz,UA-BP-GGP-00072,,,negative,,,,,,,,,,,PMC3213185
apoptosis,bioprocess,,,go,GO:0006915,,,PI3K,protein,,,be,PI3K,,,negative,,,,,,,,,,,PMC3213185
apoptosis,bioprocess,,,go,GO:0006915,,,IL2RBT,protein,,,uaz,UAZ03887,,,negative,,,,,,,,,,,PMC3213185
apoptosis,bioprocess,,,go,GO:0006915,,,MEK,family,,,be,MEK,,,negative,,,,,,,,,,,PMC3213185
apoptosis,bioprocess,,,go,GO:0006915,,,ERK,family,,,be,ERK,,,negative,,,,,,,,,,,PMC3213185
apoptosis,bioprocess,,,go,GO:0006915,,,IL2RB,protein,,,uniprot,P14784,,,negative,,,,,,,,,,,PMC3213185
apoptosis,bioprocess,,,go,GO:0006915,,,RAS,family,,,pfam,PF00071,,,negative,,,,,,,,,,,PMC3213185
TCR,protein,,,uniprot,P04234,,,CTLA4,protein,,,uniprot,P16410,,,negative,,,,,,,,,,,PMC3213185
STAT3,protein,,,uniprot,P40763,,,transcription,bioprocess,,,go,GO:0006351,,,positive,,,,,,,,,,,PMC7193483
STAT3,protein,,,uniprot,P40763,,,transcription,bioprocess,,,go,GO:0006351,,,positive,,,,,,,,,,,PMC7193483
CD8,family,,,be,CD8,,,miR146b_promoter,protein,,,uaz,UAZ04685,,,negative,,,,,,,,,,,PMC7193483
FasL,protein,,,uniprot,P48023,,,HuR,protein,,,uniprot,Q15717,,,positive,,,,,,,,,,,PMC7193483
transcription,bioprocess,,,go,GO:0006351,,,STAT,protein,,,uniprot,P35610,,,positive,,,,,,,,,,,PMC7040228
apoptosis,bioprocess,,,go,GO:0006915,,,STAT3,protein,,,uniprot,P40763,,,negative,,,,,,,,,,,PMC7040228
DSBs,protein,,,uaz,UAZ04821,,,p53,protein,,,uniprot,P04637,,,positive,,,,,,,,,,,PMC5814445
p53,protein,,,uniprot,P04637,,,cell_death,bioprocess,,,go,GO:0008219,,,positive,,,,,,,,,,,PMC5814445
Fig,protein,,,uniprot,Q9HD26,,,TCL1,protein,,,uniprot,O95988,,,positive,,,,,,,,,,,PMC5814445
MTCP1,protein,,,uniprot,P56277,,,TCL1,protein,,,uniprot,O95988,,,positive,,,,,,,,,,,PMC5814445
TCL1B,protein,,,uniprot,O95988,,,TCL1,protein,,,uniprot,O95988,,,positive,,,,,,,,,,,PMC5814445
ROS,simple-chemical,,,chebi,CHEBI:26523,,,TCL1A,protein,,,uniprot,P56279,,,positive,,,,,,,,,,,PMC5814445
apoptosis,bioprocess,,,go,GO:0006915,,,Panobinostat,simple-chemical,,,pubchem,6918837,,,positive,,,,,,,,,,,PMC5814445
apoptosis,bioprocess,,,go,GO:0006915,,,Idasanutlin,protein,,,uaz,UAZ04780,,,positive,,,,,,,,,,,PMC5814445
DDR,family,,,pfam,PF08841,,,p53,protein,,,uniprot,P04637,,,positive,,,,,,,,,,,PMC5814445
DDR,family,,,pfam,PF08841,,,ATM,protein,,,uniprot,Q13315,,,positive,,,,,,,,,,,PMC5814445
histones,family,,,be,Histone,,,DAC,protein,,,uniprot,P22760,,,negative,,,,,,,,,,,PMC5814445
IL4,protein,,,uniprot,P05112,,,PTCLs,protein,,,uaz,UAZ05036,,,positive,,,,,,,,,,,PMC4854725
PTCL,protein,,,uaz,UAZ04906,,,Spn,protein,,,uniprot,O75398,,,positive,,,,,,,,,,,PMC4854725
TCR,protein,,,uniprot,P04234,,,proliferation,bioprocess,,,go,GO:0008283,,,positive,,,,,,,,,,,PMC4854725
cell_proliferation,bioprocess,,,go,GO:0008283,,,TCR,protein,,,uniprot,P04234,,,positive,,,,,,,,,,,PMC4854725
TCR,protein,,,uniprot,P04234,,,calcineurin_inhibitor,protein,,,uniprot,Q9Y6J0,,,positive,,,,,,,,,,,PMC4854725
CD1d,protein,,,uniprot,P15813,,,TCR,protein,,,uniprot,P04234,,,positive,,,,,,,,,,,PMC4854725
cell_expansion,bioprocess,,,go,GO:0016049,,,transcription,bioprocess,,,go,GO:0006351,,,positive,,,,,,,,,,,PMC4854725
differentiation,bioprocess,,,go,GO:0030154,,,transcription,bioprocess,,,go,GO:0006351,,,positive,,,,,,,,,,,PMC4854725
TCR,protein,,,uniprot,P04234,,,antigen,protein,,,uaz,UA-BP-GGP-00007,,,positive,,,,,,,,,,,PMC4854725
TCR,protein,,,uniprot,P04234,,,ITKSYK,protein,,,uaz,UAZ05066,,,positive,,,,,,,,,,,PMC4854725
transport,bioprocess,,,go,GO:0006810,,,Akt1,protein,,,uniprot,P31749,,,positive,,,,,,,,,,,PMC5732835
cell_proliferation,bioprocess,,,go,GO:0008283,,,NBS1,protein,,,uniprot,O60934,,,positive,,,,,,,,,,,PMC5732835
CD26,protein,,,uniprot,P27487,,,CD7,protein,,,uniprot,P09564,,,negative,,,,,,,,,,,PMC5732835
CD26,protein,,,uniprot,P27487,,,CD26,protein,,,uniprot,P27487,,,negative,,,,,,,,,,,PMC5732835
CD7,protein,,,uniprot,P09564,,,CD7,protein,,,uniprot,P09564,,,negative,,,,,,,,,,,PMC5732835
CD7,protein,,,uniprot,P09564,,,CD26,protein,,,uniprot,P27487,,,negative,,,,,,,,,,,PMC5732835
apoptosis,bioprocess,,,go,GO:0006915,,,MK2206,protein,,,uaz,UAZ03543,,,negative,,,,,,,,,,,PMC5732835
apoptosis,bioprocess,,,go,GO:0006915,,,AKT_inhibitor,simple-chemical,,,uaz,UAZ00178,,,negative,,,,,,,,,,,PMC5732835
apoptosis,bioprocess,,,go,GO:0006915,,,cell_growth,bioprocess,,,go,GO:0016049,,,negative,,,,,,,,,,,PMC5732835
MEC04,protein,,,uaz,UAZ04947,,,"CP690,550",protein,,,uaz,UAZ04929,,,negative,,,,,,,,,,,PMC5732835
Abs,protein,,,uniprot,Q9UJV9,,,antigen,protein,,,uaz,UA-BP-GGP-00007,,,positive,,,,,,,,,,,PMC4616464
sensor,family,,,pfam,PF13796,,,exocytosis,bioprocess,,,go,GO:0006887,,,positive,,,,,,,,,,,PMC5419584
cAMP,protein,,,uniprot,P49913,,,exocytosis,bioprocess,,,go,GO:0006887,,,positive,,,,,,,,,,,PMC5419584
exocytosis,bioprocess,,,go,GO:0006887,,,calcium,simple-chemical,,,pubchem,5460341,,,positive,,,,,,,,,,,PMC5419584
AKT,family,,,be,AKT,,,MAPK,family,,,be,ERK,,,positive,,,,,,,,,,,PMC5419584
AKT,family,,,be,AKT,,,MAPK,family,,,be,ERK,,,positive,,,,,,,,,,,PMC5419584
CAR,protein,,,uniprot,P36575,,,CD19,protein,,,uniprot,P15391,,,positive,,,,,,,,,,,PMC6936092
CAR,protein,,,uniprot,P36575,,,CAR,protein,,,uniprot,P36575,,,positive,,,,,,,,,,,PMC6936092
cytokine_production,bioprocess,,,go,GO:0001816,,,CD30,protein,,,uniprot,P28908,,,positive,,,,,,,,,,,PMC6936092
proliferation,bioprocess,,,go,GO:0008283,,,CD30,protein,,,uniprot,P28908,,,positive,,,,,,,,,,,PMC6936092
CD30,protein,,,uniprot,P28908,,,CAR,protein,,,uniprot,P36575,,,positive,,,,,,,,,,,PMC6936092
TCR,protein,,,uniprot,P04234,,,TRAC,protein,,,uniprot,P01848,,,positive,,,,,,,,,,,PMC6936092
CD3,protein,,,be,CD3,,,TRAC,protein,,,uniprot,P01848,,,positive,,,,,,,,,,,PMC6936092
danger,protein,,,uniprot,Q8IWB1,,,heat,family,,,pfam,PF02985,,,positive,,,,,,,,,,,PMC6936092
cell_death,bioprocess,,,go,GO:0008219,,,CAR,protein,,,uniprot,P36575,,,positive,,,,,,,,,,,PMC6936092
cell_death,bioprocess,,,go,GO:0008219,,,CAR,protein,,,uniprot,P36575,,,positive,,,,,,,,,,,PMC6936092
